Fish_ID,Cohort,Treatment_Level,Experiment_Type,Total_Length,Standard_Length,Height,Weight,DB_Bites,CB_Bites,DE_Bites,CE_Bites,DB_Mass,CB_Mass,DE_Mass,CE_Mass
NL17,4,6,SeS,12.8,10.9,5.1,39.93,0,0,0,0,-0.01,0.05,0,0.03
NL18,5,9,SeS,10.7,9.1,4.2,21.55,0,0,0,0,0.09,0.06,0.05,0.03
NL19,5,9,SeS,13.1,11.3,5.2,44.45,99,3,14,6,0.3,0.08,0.18,0.13
NL20,5,9,SeS,12.5,10.9,5.2,37.27,25,34,54,30,0.09,0.19,0.23,0.17
NL21,6,6,SeS,11.6,9.9,4.7,30.62,6,3,10,0,0.05,0.08,0.34,-0.2
NL22,6,6,SeS,11.9,10.1,4.8,32.02,0,18,0,19,-0.03,0.28,0.05,0.2
NL23,6,9,SeS,13.9,12,5.3,55.57,0,0,0,0,0.14,0.23,0.08,0.14
NL24,7,12,SeS,13.2,11.4,5.4,45.42,56,289,8,24,0.15,0.1,0.04,0.09
NL25,7,12,SeS,13,11.1,5,38.41,0,0,0,0,0.05,0.09,0.04,0.05
NL26,7,12,SeS,15.3,13.1,6,70.77,87,76,50,57,0.42,0.1,0.23,0.68
NL27,7,12,SeS,12,10.2,4.8,31.11,0,0,0,0,0.05,0.04,0.14,0.02
NL28,8,9,SeS,12.6,10.8,5.2,40.14,0,0,0,0,0.05,0.16,0.01,-0.03
NL29,8,12,SeS,12.7,10.9,5,39.75,28,126,77,170,0.54,0.89,0.25,0.29
NL30,8,12,SeS,12.2,10.4,4.9,37.15,0,0,0,0,0.32,0.06,0.08,-0.12
NL31,10,6,SeS,11.2,9.4,4.8,30.52,55,41,61,60,0.22,0.34,0.21,0.26
NL32,10,6,SeS,12.6,10.9,5.1,36.82,50,104,33,66,0.16,0.1,0.17,0.27
NL33,10,6,SeS,14.1,11.9,5.7,60.07,83,62,28,51,0.75,0.59,0.28,0.15
NL34,10,6,SeS,13.2,11.4,5.6,46.35,79,62,19,88,0.82,0.39,0.33,0.12
NL35,11,12,SeS,12.1,10.5,4.9,36.02,0,0,0,0,0.05,0.06,0.05,0.03
NL36,11,12,SeS,13.9,12,5.6,52.87,22,48,23,43,0.45,0.59,0.2,0.22
NL1,NA,6,Both,12.1,10.4,5,38.86,88,49,14,9,0.58,0.54,0.06,0.02
NL2,NA,9,Both,14.2,12.3,5.1,53.02,0,0,0,0,0.17,0.05,0.04,0.12
